epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5797,1.77472,1.50716,1.33795,0.65657,0.6799,0.70371,0.38243,1.52686,inf,1.22909,0.000652778,0.000652778,0.000652778
2,111.989,1.51987,0.97462,1.19272,0.77445,0.66521,0.75094,0.43589,1.51057,1.09742,1.22423,0.00129332,0.00129332,0.00129332
3,167.773,1.52171,0.95702,1.17325,0.77805,0.69755,0.77759,0.45887,1.47788,0.95192,1.18188,0.00190746,0.00190746,0.00190746
4,224.556,1.48926,0.91559,1.15793,0.73516,0.6642,0.72438,0.4114,1.53819,1.00184,1.20095,0.0018812,0.0018812,0.0018812
5,276.755,1.4443,0.87448,1.14117,0.81718,0.73891,0.82232,0.49588,1.46898,0.85498,1.16495,0.0018416,0.0018416,0.0018416
6,331.584,1.43741,0.85494,1.12815,0.82989,0.75182,0.82049,0.49397,1.44698,0.83715,1.15257,0.001802,0.001802,0.001802
7,384.637,1.39221,0.80452,1.1061,0.83563,0.76571,0.84171,0.51218,1.43326,0.81066,1.13891,0.0017624,0.0017624,0.0017624
8,438.591,1.3939,0.785,1.09916,0.85101,0.77858,0.85538,0.51812,1.43921,0.79219,1.14753,0.0017228,0.0017228,0.0017228
9,493.411,1.38687,0.7886,1.10007,0.84385,0.7806,0.8477,0.51472,1.4301,0.82266,1.1495,0.0016832,0.0016832,0.0016832
10,545.261,1.38887,0.79663,1.09906,0.8576,0.76588,0.85391,0.51868,1.4196,0.79095,1.1278,0.0016436,0.0016436,0.0016436
11,598.271,1.35997,0.77365,1.0946,0.85191,0.77604,0.84985,0.52086,1.40727,0.78083,1.12735,0.001604,0.001604,0.001604
12,653.012,1.35869,0.7379,1.08024,0.86524,0.7852,0.86243,0.52736,1.42168,0.74668,1.1331,0.0015644,0.0015644,0.0015644
13,706.805,1.35636,0.748,1.07562,0.85472,0.78292,0.85592,0.52748,1.40601,0.75659,1.12311,0.0015248,0.0015248,0.0015248
14,760.871,1.36238,0.76416,1.08927,0.83866,0.78524,0.84372,0.51031,1.41031,0.78586,1.13137,0.0014852,0.0014852,0.0014852
15,815.02,1.37112,0.74949,1.08452,0.86828,0.79045,0.87276,0.53284,1.41269,0.74737,1.12116,0.0014456,0.0014456,0.0014456
16,869.283,1.32412,0.7229,1.07024,0.8736,0.7932,0.8715,0.53835,1.38492,0.73297,1.10901,0.001406,0.001406,0.001406
17,924.831,1.34055,0.74044,1.0724,0.86592,0.78739,0.86699,0.53732,1.37669,0.74039,1.11252,0.0013664,0.0013664,0.0013664
18,978.294,1.31909,0.70035,1.06236,0.86894,0.80431,0.87107,0.5431,1.4004,0.7145,1.11931,0.0013268,0.0013268,0.0013268
19,1031.33,1.33995,0.70683,1.06229,0.87227,0.80594,0.87865,0.55043,1.38032,0.70751,1.10432,0.0012872,0.0012872,0.0012872
20,1085.52,1.30142,0.69187,1.05533,0.87531,0.79602,0.87146,0.5425,1.39102,0.72021,1.11329,0.0012476,0.0012476,0.0012476
